Line#,Date,"Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981","Temperature (S-THC 21559981:22071558-1),°C,21559981","RH (S-THC 21559981:22071558-2),%,21559981"
1,25-06-18 15:40:00 -0500,124,12.196,53.196
2,25-06-18 15:45:00 -0500,123,12.26,55.476
3,25-06-18 15:50:00 -0500,117,11.939,55.155
4,25-06-18 15:55:00 -0500,109,11.746,55.888
5,25-06-18 16:00:00 -0500,103,11.617,56.51
6,25-06-18 16:05:00 -0500,104,11.467,55.911
7,25-06-18 16:10:00 -0500,93,11.424,56.358
8,25-06-18 16:15:00 -0500,87,11.445,56.387
9,25-06-18 16:20:00 -0500,83,11.51,56.5
10,25-06-18 16:25:00 -0500,77,11.488,57.713
11,25-06-18 16:30:00 -0500,67,11.102,58.065
12,25-06-18 16:35:00 -0500,59,10.866,58.875
13,25-06-18 16:40:00 -0500,51,10.759,60.182
14,25-06-18 16:45:00 -0500,44,10.502,59.806
15,25-06-18 16:50:00 -0500,42,10.309,60.006
16,25-06-18 16:55:00 -0500,42,11.252,57.713
17,25-06-18 17:00:00 -0500,29,14.384,47.893
18,25-06-18 17:05:00 -0500,22,12.775,50.526
19,25-06-18 17:10:00 -0500,16,9.88,58.912
20,25-06-19 11:10:00 -0500,917,15.306,50.642
21,25-06-19 11:15:00 -0500,948,15.735,47.23
22,25-06-19 11:20:00 -0500,546,14.877,46.224
23,25-06-19 11:25:00 -0500,332,15.563,42.039
24,25-06-19 11:30:00 -0500,461,16.228,42.113
25,25-06-19 11:35:00 -0500,369,15.714,42.342
26,25-06-19 11:40:00 -0500,442,17.279,39.01
27,25-06-19 11:45:00 -0500,324,18.051,37.832
28,25-06-19 11:50:00 -0500,866,15.027,44.442
29,25-06-19 11:55:00 -0500,289,18.094,39.471
30,25-06-19 12:00:00 -0500,783,19.231,34.92
31,25-06-19 12:05:00 -0500,223,17.086,38.634
32,25-06-19 12:10:00 -0500,216,15.263,40.162
33,25-06-19 12:15:00 -0500,892,15.971,42.423
34,25-06-19 12:20:00 -0500,823,19.746,33.587
35,25-06-19 12:25:00 -0500,852,20.754,34.076
36,25-06-19 12:30:00 -0500,731,19.681,35.126
37,25-06-19 12:35:00 -0500,894,21.462,33.696
38,25-06-19 12:40:00 -0500,508,23.885,28.31
39,25-06-19 12:45:00 -0500,337,17.73,37.278
40,25-06-19 12:50:00 -0500,753,20.582,34.98
41,25-06-19 12:55:00 -0500,592,19.939,34.948
42,25-06-19 13:00:00 -0500,457,19.017,34.65
43,25-06-19 13:05:00 -0500,326,17.966,36.892
44,25-06-19 13:10:00 -0500,672,19.317,37.955
45,25-06-19 13:15:00 -0500,229,16.421,39.641
46,25-06-19 13:20:00 -0500,543,19.574,35.904
47,25-06-19 13:25:00 -0500,483,21.998,32.769
48,25-06-19 13:30:00 -0500,622,21.226,32.943
49,25-06-19 13:35:00 -0500,578,22.191,31.746
50,25-06-19 13:40:00 -0500,561,21.912,31.794
51,25-06-19 13:45:00 -0500,566,21.612,32.091
52,25-06-19 13:50:00 -0500,544,20.732,31.499
53,25-06-19 13:55:00 -0500,528,20.454,32.769
54,25-06-19 14:00:00 -0500,521,21.676,31.716
55,25-06-19 14:05:00 -0500,506,20.003,32.041
56,25-06-19 14:10:00 -0500,504,20.689,31.954
57,25-06-19 14:15:00 -0500,496,20.368,32.192
58,25-06-19 14:20:00 -0500,497,20.99,31.254
59,25-06-19 14:25:00 -0500,498,18.695,35.116
60,25-06-19 14:30:00 -0500,498,20.325,31.231
61,25-06-19 14:40:00 -0500,479,20.99,30.242
62,25-06-19 14:45:00 -0500,446,21.054,29.059
63,25-06-19 14:50:00 -0500,413,20.11,30.915
64,25-06-19 14:55:00 -0500,397,19.21,32.462
65,25-06-19 15:00:00 -0500,376,20.132,32.461
66,25-06-19 15:05:00 -0500,356,19.102,33.051
