Line#,Date,"Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981","Temperature (S-THC 21559981:22071558-1),°C,21559981"
1,25-08-20 00:00:00 -0500,ERROR,-4.791
2,25-08-20 00:05:00 -0500,ERROR,-4.984
3,25-08-20 00:10:00 -0500,ERROR,-4.769
4,25-08-20 00:15:00 -0500,ERROR,-4.812
5,25-08-20 00:20:00 -0500,ERROR,-5.134
6,25-08-20 00:25:00 -0500,ERROR,-5.305
7,25-08-20 00:30:00 -0500,ERROR,-5.563
8,25-08-20 00:35:00 -0500,ERROR,-5.627
9,25-08-20 00:40:00 -0500,ERROR,-5.627
10,25-08-20 00:45:00 -0500,ERROR,-5.413
11,25-08-20 00:50:00 -0500,ERROR,-5.777
12,25-08-20 00:55:00 -0500,ERROR,-5.906
13,25-08-20 01:00:00 -0500,ERROR,-6.442
14,25-08-20 01:05:00 -0500,ERROR,-5.906
15,25-08-20 01:10:00 -0500,ERROR,-7.279
16,25-08-20 01:15:00 -0500,ERROR,-6.871
17,25-08-20 01:20:00 -0500,ERROR,-6.7
18,25-08-20 01:25:00 -0500,ERROR,-6.614
19,25-08-20 01:30:00 -0500,ERROR,-6.614
20,25-08-20 01:35:00 -0500,ERROR,-6.292
21,25-08-20 01:40:00 -0500,ERROR,-6.185
22,25-08-20 01:45:00 -0500,ERROR,-6.893
23,25-08-20 01:50:00 -0500,ERROR,-7.193
24,25-08-20 01:55:00 -0500,ERROR,-7.836
25,25-08-20 02:00:00 -0500,ERROR,-7.879
26,25-08-20 02:05:00 -0500,ERROR,-7.686
27,25-08-20 02:10:00 -0500,ERROR,-7.729
28,25-08-20 02:15:00 -0500,ERROR,-7.815
29,25-08-20 02:20:00 -0500,ERROR,-8.115
30,25-08-20 02:25:00 -0500,ERROR,-8.137
31,25-08-20 02:30:00 -0500,ERROR,-7.793
32,25-08-20 02:35:00 -0500,ERROR,-7.686
33,25-08-20 02:40:00 -0500,ERROR,-7.836
34,25-08-20 02:45:00 -0500,ERROR,-7.665
35,25-08-20 02:50:00 -0500,ERROR,-7.579
36,25-08-20 02:55:00 -0500,ERROR,-7.515
37,25-08-20 03:00:00 -0500,ERROR,-7.879
38,25-08-20 03:05:00 -0500,ERROR,-8.072
39,25-08-20 03:10:00 -0500,ERROR,-8.029
40,25-08-20 03:15:00 -0500,ERROR,-8.094
41,25-08-20 03:20:00 -0500,ERROR,-8.415
42,25-08-20 03:25:00 -0500,ERROR,-8.63
43,25-08-20 03:30:00 -0500,ERROR,-8.544
44,25-08-20 03:35:00 -0500,ERROR,-8.372
45,25-08-20 03:40:00 -0500,ERROR,-8.523
46,25-08-20 03:45:00 -0500,ERROR,-8.63
47,25-08-20 03:50:00 -0500,ERROR,-8.952
48,25-08-20 03:55:00 -0500,ERROR,-9.187
49,25-08-20 04:00:00 -0500,ERROR,-9.509
50,25-08-20 04:05:00 -0500,ERROR,-9.659
51,25-08-20 04:10:00 -0500,ERROR,-10.045
52,25-08-20 04:15:00 -0500,ERROR,-9.745
53,25-08-20 04:20:00 -0500,ERROR,-9.745
54,25-08-20 04:25:00 -0500,ERROR,-9.316
55,25-08-20 04:30:00 -0500,ERROR,-9.659
56,25-08-20 04:35:00 -0500,ERROR,-9.702
57,25-08-20 04:40:00 -0500,ERROR,-9.316
58,25-08-20 04:45:00 -0500,ERROR,-9.23
59,25-08-20 04:50:00 -0500,ERROR,-9.423
60,25-08-20 04:55:00 -0500,ERROR,-9.187
61,25-08-20 05:00:00 -0500,ERROR,-9.445
62,25-08-20 05:05:00 -0500,ERROR,-9.295
63,25-08-20 05:10:00 -0500,ERROR,-9.252
64,25-08-20 05:15:00 -0500,ERROR,-9.187
65,25-08-20 05:20:00 -0500,ERROR,-9.166
66,25-08-20 05:25:00 -0500,ERROR,-9.102
67,25-08-20 05:30:00 -0500,ERROR,-9.509
68,25-08-20 05:35:00 -0500,ERROR,-9.767
69,25-08-20 05:40:00 -0500,ERROR,-9.767
70,25-08-20 05:45:00 -0500,ERROR,-9.488
71,25-08-20 05:50:00 -0500,ERROR,-9.574
72,25-08-20 05:55:00 -0500,ERROR,-9.917
73,25-08-20 06:00:00 -0500,ERROR,-10.367
74,25-08-20 06:05:00 -0500,ERROR,-9.767
75,25-08-20 06:10:00 -0500,ERROR,-9.252
76,25-08-20 06:15:00 -0500,ERROR,-9.166
77,25-08-20 06:20:00 -0500,ERROR,-8.544
78,25-08-20 06:25:00 -0500,ERROR,-3.311
79,25-08-20 06:30:00 -0500,ERROR,0.057
80,25-08-20 06:35:00 -0500,ERROR,1.88
81,25-08-20 06:40:00 -0500,ERROR,2.03
82,25-08-20 06:45:00 -0500,ERROR,7.07
83,25-08-20 06:50:00 -0500,ERROR,6.641
84,25-08-20 06:55:00 -0500,ERROR,6.92
85,25-08-20 07:00:00 -0500,ERROR,7.563
86,25-08-20 07:05:00 -0500,ERROR,6.77
87,25-08-20 07:10:00 -0500,ERROR,11.295
88,25-08-20 07:15:00 -0500,ERROR,9.344
89,25-08-20 07:20:00 -0500,ERROR,11.145
