"Line#","Date","Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981"
"1","25-06-19 11:10:00 -0500","917"
"2","25-06-19 11:15:00 -0500","948"
"3","25-06-19 11:20:00 -0500","546"
"4","25-06-19 11:25:00 -0500","332"
"5","25-06-19 11:30:00 -0500","461"
"6","25-06-19 11:35:00 -0500","369"
"7","25-06-19 11:40:00 -0500","442"
"8","25-06-19 11:45:00 -0500","324"
"9","25-06-19 11:50:00 -0500","866"
"10","25-06-19 11:55:00 -0500","289"
"11","25-06-19 12:00:00 -0500","783"
"12","25-06-19 12:05:00 -0500","223"
"13","25-06-19 12:10:00 -0500","216"
"14","25-06-19 12:15:00 -0500","892"
"15","25-06-19 12:20:00 -0500","823"
"16","25-06-19 12:25:00 -0500","852"
"17","25-06-19 12:30:00 -0500","731"
"18","25-06-19 12:35:00 -0500","894"
"19","25-06-19 12:40:00 -0500","508"
"20","25-06-19 12:45:00 -0500","337"
"21","25-06-19 12:50:00 -0500","753"
"22","25-06-19 12:55:00 -0500","592"
"23","25-06-19 13:00:00 -0500","457"
"24","25-06-19 13:05:00 -0500","326"
"25","25-06-19 13:10:00 -0500","672"
"26","25-06-19 13:15:00 -0500","229"
"27","25-06-19 13:20:00 -0500","543"
"28","25-06-19 13:25:00 -0500","483"
"29","25-06-19 13:30:00 -0500","622"
"30","25-06-19 13:35:00 -0500","578"
"31","25-06-19 13:40:00 -0500","561"
"32","25-06-19 13:45:00 -0500","566"
"33","25-06-19 13:50:00 -0500","544"
"34","25-06-19 13:55:00 -0500","528"
"35","25-06-19 14:00:00 -0500","521"
"36","25-06-19 14:05:00 -0500","506"
"37","25-06-19 14:10:00 -0500","504"
"38","25-06-19 14:15:00 -0500","496"
"39","25-06-19 14:20:00 -0500","497"
"40","25-06-19 14:25:00 -0500","498"
"41","25-06-19 14:30:00 -0500","498"
"42","25-06-19 14:40:00 -0500","479"
"43","25-06-19 14:45:00 -0500","446"
"44","25-06-19 14:50:00 -0500","413"
"45","25-06-19 14:55:00 -0500","397"
"46","25-06-19 15:00:00 -0500","376"
"47","25-06-19 15:05:00 -0500","356"
"48","25-06-19 15:10:00 -0500","346"
"49","25-06-19 15:15:00 -0500","94"
"50","25-06-19 15:20:00 -0500","347"
"51","25-06-19 15:25:00 -0500","311"
"52","25-06-19 15:30:00 -0500","289"
"53","25-06-19 15:35:00 -0500","283"
"54","25-06-19 15:40:00 -0500","266"
"55","25-06-19 15:45:00 -0500","234"
"56","25-06-19 15:50:00 -0500","221"
"57","25-06-19 15:55:00 -0500","203"
"58","25-06-19 16:00:00 -0500","189"
"59","25-06-19 16:05:00 -0500","174"
"60","25-06-19 16:10:00 -0500","156"
"61","25-06-19 16:15:00 -0500","142"
"62","25-06-19 16:20:00 -0500","127"
"63","25-06-19 16:25:00 -0500","108"
"64","25-06-19 16:30:00 -0500","89"
"65","25-06-19 16:35:00 -0500","69"
"66","25-06-19 16:40:00 -0500","52"
"67","25-06-20 12:25:00 -0500","679"
