"Line#","Date","Temperature (S-THC 21559981:22071558-1),°C,21559981"
"1","25-06-19 11:10:00 -0500","15.306"
"2","25-06-19 11:15:00 -0500","15.735"
"3","25-06-19 11:20:00 -0500","14.877"
"4","25-06-19 11:25:00 -0500","15.563"
"5","25-06-19 11:30:00 -0500","16.228"
"6","25-06-19 11:35:00 -0500","15.714"
"7","25-06-19 11:40:00 -0500","17.279"
"8","25-06-19 11:45:00 -0500","18.051"
"9","25-06-19 11:50:00 -0500","15.027"
"10","25-06-19 11:55:00 -0500","18.094"
"11","25-06-19 12:00:00 -0500","19.231"
"12","25-06-19 12:05:00 -0500","17.086"
"13","25-06-19 12:10:00 -0500","15.263"
"14","25-06-19 12:15:00 -0500","15.971"
"15","25-06-19 12:20:00 -0500","19.746"
"16","25-06-19 12:25:00 -0500","20.754"
"17","25-06-19 12:30:00 -0500","19.681"
"18","25-06-19 12:35:00 -0500","21.462"
"19","25-06-19 12:40:00 -0500","23.885"
"20","25-06-19 12:45:00 -0500","17.73"
"21","25-06-19 12:50:00 -0500","20.582"
"22","25-06-19 12:55:00 -0500","19.939"
"23","25-06-19 13:00:00 -0500","19.017"
"24","25-06-19 13:05:00 -0500","17.966"
"25","25-06-19 13:10:00 -0500","19.317"
"26","25-06-19 13:15:00 -0500","16.421"
"27","25-06-19 13:20:00 -0500","19.574"
"28","25-06-19 13:25:00 -0500","21.998"
"29","25-06-19 13:30:00 -0500","21.226"
"30","25-06-19 13:35:00 -0500","22.191"
"31","25-06-19 13:40:00 -0500","21.912"
"32","25-06-19 13:45:00 -0500","21.612"
"33","25-06-19 13:50:00 -0500","20.732"
"34","25-06-19 13:55:00 -0500","20.454"
"35","25-06-19 14:00:00 -0500","21.676"
"36","25-06-19 14:05:00 -0500","20.003"
"37","25-06-19 14:10:00 -0500","20.689"
"38","25-06-19 14:15:00 -0500","20.368"
"39","25-06-19 14:20:00 -0500","20.99"
"40","25-06-19 14:25:00 -0500","18.695"
"41","25-06-19 14:30:00 -0500","20.325"
"42","25-06-19 14:40:00 -0500","20.99"
"43","25-06-19 14:45:00 -0500","21.054"
"44","25-06-19 14:50:00 -0500","20.11"
"45","25-06-19 14:55:00 -0500","19.21"
"46","25-06-19 15:00:00 -0500","20.132"
"47","25-06-19 15:05:00 -0500","19.102"
"48","25-06-19 15:10:00 -0500","19.424"
"49","25-06-19 15:15:00 -0500","20.196"
"50","25-06-19 15:20:00 -0500","18.888"
"51","25-06-19 15:25:00 -0500","19.724"
"52","25-06-19 15:30:00 -0500","19.81"
"53","25-06-19 15:35:00 -0500","18.137"
"54","25-06-19 15:40:00 -0500","18.266"
"55","25-06-19 15:45:00 -0500","18.63"
"56","25-06-19 15:50:00 -0500","19.274"
"57","25-06-19 15:55:00 -0500","18.523"
