Line#,Date,"Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981","Temperature (S-THC 21559981:22071558-1),°C,21559981","Wind Speed (S-WCF 21559981:21952747-1),m/s,21559981","Gust Speed (S-WCF 21559981:21952747-2),m/s,21559981"
1,25-07-13 00:00:00 -0500,1,-4.769,1,1.3
2,25-07-13 00:05:00 -0500,1,-4.512,1.3,2
3,25-07-13 00:10:00 -0500,1,-4.061,1.3,2
4,25-07-13 00:15:00 -0500,1,-4.426,1.3,2
5,25-07-13 00:20:00 -0500,1,-4.898,1.3,2
6,25-07-13 00:25:00 -0500,1,-4.769,1.3,2
7,25-07-13 00:30:00 -0500,1,-4.962,1,1.3
8,25-07-13 00:35:00 -0500,1,-5.413,0.7,1.7
9,25-07-13 00:40:00 -0500,1,-5.863,0.7,1.3
10,25-07-13 00:45:00 -0500,1,-6.185,0.3,1
11,25-07-13 00:50:00 -0500,1,-5.927,1,1.7
12,25-07-13 00:55:00 -0500,1,-5.97,1,1.3
13,25-07-13 01:00:00 -0500,1,-5.842,1,1.7
14,25-07-13 01:05:00 -0500,1,-5.906,1.7,2.3
15,25-07-13 01:10:00 -0500,1,-5.563,1.3,2
16,25-07-13 01:15:00 -0500,1,-5.52,1.3,1.7
17,25-07-13 01:20:00 -0500,1,-6.035,1,1.7
18,25-07-13 01:25:00 -0500,1,-6.378,1,1.7
19,25-07-13 01:30:00 -0500,1,-6.635,1,1.7
20,25-07-13 01:35:00 -0500,1,-6.506,1,1.7
21,25-07-13 01:40:00 -0500,1,-6.614,1,1.3
22,25-07-13 01:45:00 -0500,1,-6.85,1,1.3
23,25-07-13 01:50:00 -0500,1,-6.764,1.3,2
24,25-07-13 01:55:00 -0500,1,-6.442,1.3,2
25,25-07-13 02:00:00 -0500,1,-6.506,1.3,2
26,25-07-13 02:05:00 -0500,1,-6.721,1.3,1.7
27,25-07-13 02:10:00 -0500,1,-6.893,1.3,1.7
28,25-07-13 02:15:00 -0500,1,-6.485,1.3,2
29,25-07-13 02:20:00 -0500,1,-6.571,1.3,2
30,25-07-13 02:25:00 -0500,1,-6.785,1,1.3
31,25-07-13 02:30:00 -0500,1,-7.021,0.7,1.3
32,25-07-13 02:35:00 -0500,1,-7.343,0.7,1
33,25-07-13 02:40:00 -0500,1,-7.45,0.7,1.3
34,25-07-13 02:45:00 -0500,1,-7.622,0.7,1.3
35,25-07-13 02:50:00 -0500,1,-7.493,1,1.7
36,25-07-13 02:55:00 -0500,1,-7.3,1.3,1.7
37,25-07-13 03:00:00 -0500,1,-7.429,1.3,1.7
38,25-07-13 03:05:00 -0500,1,-7.407,1.7,2
39,25-07-13 03:10:00 -0500,1,-7.472,1.3,2.3
40,25-07-13 03:15:00 -0500,1,-7.772,1.3,2
41,25-07-13 03:20:00 -0500,1,-7.793,1,2
42,25-07-13 03:25:00 -0500,1,-8.008,1.3,1.7
43,25-07-13 03:30:00 -0500,1,-8.158,1.3,1.7
44,25-07-13 03:35:00 -0500,1,-8.158,1.3,1.7
45,25-07-13 03:40:00 -0500,1,-8.265,1,1.3
46,25-07-13 03:45:00 -0500,1,-8.78,0.7,1.3
47,25-07-13 03:50:00 -0500,1,-8.501,1,1.3
48,25-07-13 03:55:00 -0500,1,-8.137,1.3,1.7
49,25-07-13 04:00:00 -0500,1,-8.201,0.7,1.3
50,25-07-13 04:05:00 -0500,1,-8.952,0,0
51,25-07-13 04:10:00 -0500,1,-8.351,0.7,1
52,25-07-13 04:15:00 -0500,1,-8.737,0.7,1.3
53,25-07-13 04:20:00 -0500,1,-8.372,1.3,1.7
54,25-07-13 04:25:00 -0500,1,-8.801,0.7,1.7
55,25-07-13 04:30:00 -0500,1,-8.694,1,1.3
56,25-07-13 04:35:00 -0500,1,-8.48,0.7,1.3
57,25-07-13 04:40:00 -0500,1,-9.016,0.7,1.3
58,25-07-13 04:45:00 -0500,1,-8.673,1.3,2
59,25-07-13 04:50:00 -0500,1,-8.501,1.3,2
60,25-07-13 04:55:00 -0500,1,-8.887,1,1.7
61,25-07-13 05:00:00 -0500,1,-8.801,1,1.7
62,25-07-13 05:05:00 -0500,1,-8.994,0.7,1.3
63,25-07-13 05:10:00 -0500,1,-8.973,1,1.3
64,25-07-13 05:15:00 -0500,1,-9.273,0.7,1.3
65,25-07-13 05:20:00 -0500,1,-9.209,1,1.3
66,25-07-13 05:25:00 -0500,1,-9.08,1.3,2
67,25-07-13 05:30:00 -0500,1,-9.08,1.3,1.7
68,25-07-13 05:35:00 -0500,1,-9.102,1,1.7
69,25-07-13 05:40:00 -0500,1,-9.295,0.7,1.3
70,25-07-13 05:45:00 -0500,1,-8.994,1,1.7
71,25-07-13 05:50:00 -0500,1,-9.145,1.3,1.7
72,25-07-13 05:55:00 -0500,1,-9.381,1,1.7
73,25-07-13 06:00:00 -0500,1,-9.488,1,1.7
74,25-07-13 06:05:00 -0500,2,-9.359,1,2
75,25-07-13 06:10:00 -0500,3,-9.23,1.3,2
76,25-07-13 06:15:00 -0500,6,-9.295,1.3,1.7
77,25-07-13 06:20:00 -0500,8,-9.016,1.3,2
78,25-07-13 06:25:00 -0500,12,-8.651,1.3,2
79,25-07-13 06:30:00 -0500,14,-8.565,1.3,1.7
80,25-07-13 06:35:00 -0500,38,-8.415,1,1.7
81,25-07-13 06:40:00 -0500,84,-5.949,1,1.7
82,25-07-13 06:45:00 -0500,103,-5.777,0.7,2
83,25-07-13 06:50:00 -0500,121,-2.174,1,2
84,25-07-13 06:55:00 -0500,137,1.536,1.3,2
85,25-07-13 07:00:00 -0500,153,4.153,1,1.7
86,25-07-13 07:05:00 -0500,169,5.032,1.3,2
87,25-07-13 07:10:00 -0500,187,6.963,1,1.3
88,25-07-13 07:15:00 -0500,203,7.821,1,1.7
89,25-07-13 07:20:00 -0500,219,9.858,0.3,1
90,25-07-13 07:25:00 -0500,237,9.322,0,0.7
91,25-07-13 07:30:00 -0500,254,9.15,0,0
92,25-07-13 07:35:00 -0500,272,10.352,0,0
93,25-07-13 07:40:00 -0500,288,10.352,0,0
94,25-07-13 07:45:00 -0500,306,12.754,0,0
95,25-07-13 07:50:00 -0500,323,14.083,0,0
96,25-07-13 07:55:00 -0500,339,14.234,0,0
97,25-07-13 08:00:00 -0500,356,14.877,0,0
98,25-07-13 08:05:00 -0500,372,14.663,0,0.3
99,25-07-13 08:10:00 -0500,388,17.301,0,0
100,25-07-13 08:15:00 -0500,404,16.7,0.3,1
101,25-07-13 08:20:00 -0500,419,18.502,0,0
102,25-07-13 08:25:00 -0500,434,18.845,0.3,1
103,25-07-13 08:30:00 -0500,451,19.767,0.3,0.7
104,25-07-13 08:35:00 -0500,466,19.21,0.3,1
105,25-07-13 08:40:00 -0500,479,21.419,0.3,1.7
106,25-07-13 08:45:00 -0500,494,23.542,0,1
107,25-07-13 08:50:00 -0500,508,24.314,0.7,1.7
108,25-07-13 08:55:00 -0500,522,24.035,0.3,1.7
109,25-07-13 09:00:00 -0500,536,21.419,0.7,2
110,25-07-13 09:05:00 -0500,548,21.419,0.3,1.3
111,25-07-13 09:10:00 -0500,562,23.177,0.3,1.3
